OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,13554,5_33,20170530,5,33,GALAPAGAR-LA NAVATA,,S,33,10104,,93,217,U,28,061,06108,0610801,A0253,Ctra,de,Galapagar-La Navata,N,154,,,28420,01,007,,T061192,0610801019,,6,B3,3,061-002,972,25,533-2,2,3,20030331,19860101,,417036,4495038,N,,,,
2,10822,5_44,20170530,5,44,"MATAS, LAS",,S,44,10101,,93,270,U,28,127,12715,1271501,02753,Plaza,del,Ferrocarril,N,1,,,28290,01,008,,T127142,1271501021,,6,B2,3,127-002,1011,33,533-4,2,3,20030331,19860101,,424176,4489678,P,,,,
3,13551,5_47,20170530,5,47,"MOLINOS, LOS",,S,47,12005,,93,276,U,28,087,08701,0870102,A0072,Gta,de la,Estación,N,2,,,28460,01,002,,T087192,0870102007,,6,C2,4,087-001,1161,38,508-3,2,3,20030331,19860101,,409992,4507025,N,,,,
4,13553,5_50,20170530,5,50,"NEGRALES, LOS",,S,50,12001,,93,279,U,28,010,01018,0101801,A0191,Avda,de la,Reina Victoria,N,47,,,28439,01,005,,T010253,0101801003,,6,C1,4,010-001,1152,39,533-1,2,3,20030331,19860101,,413698,4499346,N,,,,
5,10869,5_51,20170530,5,51,NUEVOS MINISTERIOS,"Personal de atención / taquillas: SI
Parking disuasorio: SI",I,51,18002,,90,71,U,28,079,07901,0790101,05080,Calle,de,Raimundo Fernández Villaverde,N,67,,,28046,06,029,062,T0795339,0790101267,1,6,A,1,079-06-120,120,47,559-1,1,3,20030331,19860101,,441398,4477767,T,,,,
6,10823,5_55,20170530,5,55,PINAR DE LAS ROZAS,,S,55,10100,,93,297,U,28,127,12715,1271501,02710,Lugar, ,Estación Ferrocarril El Pinar,N,1,,,28232,01,032,,T127387,1271501018,,6,B2,3,127-006,1015,50,533-4,2,3,20030331,19860101,,425385,4486311,N,,,,
7,11738,5_58,20170530,5,58,PITIS,,S,58,97100,,93,86,U,28,079,07901,0790199,45576,Ctra,a la,Estación de Pitis,N,19,,,28035,08,139,087,T079764,0790199999,2,7,A,2,079-08-158,158,52,559-1,2,3,20030331,19860101,,438601,4483172,P,,,,
8,13552,5_6,20170530,5,6,ALPEDRETE,,S,6,12002,,93,134,U,28,010,01001,0100101,A0088,Cmno,de la,Estación,N,36,,,28430,01,003,,T010167,0100101004,,6,C1,4,010-001,1152,42,533-1,2,3,20030331,19860101,,412610,4501533,N,,,,
9,12539,5_64,20170530,5,64,RAMON Y CAJAL,,S,64,97201,,92,311,U,28,079,07901,0790101,08431,Calle,de,San Modesto,N,50,,,28034,08,111,086,T0791097,0790101069,,7,A,2,079-08-187,187,56,559-1,2,3,20030331,19860101,,441231,4482389,N,,,,
10,9062,5_65,20170530,5,65,RECOLETOS,,I,65,18001,,92,67,U,28,079,07901,0790101,00985,Paseo,de,Recoletos,N,20,,,28001,04,005,041,T0798458,0790101325,1,1,A,1,079-04-070,70,57,559-1,2,3,20030331,19860101,,441504,4475190,N,,,,
11,10589,5_11,20170530,5,11,ATOCHA,,I,11,18000,,90,54,U,28,079,07901,0790101,01357,Avda,de la,Ciudad de Barcelona,N,2,B,,28007,02,083,027,T07910055,0790101717,1,4,A,1,079-02-033,33,8,559-3,2,3,20030331,19860101,,441621,4473322,T,,,,
12,9672,5_16,20170530,5,16,CERCEDILLA,Posee Parking sin plazas PMRs,S,16,12006,,93,169,U,28,038,03802,0380201,00026,Calle,del,Cascajal,N,7,,,28470,01,003,,T038213,0380201011,,6,C2,4,038-001,1155,10,508-3,1,3,20030331,19860101,,410110,4510379,P,,,,
13,13713,5_18,20170530,5,18,CHAMARTIN,Complejo Ferroviario,I,18,17000,,90,25,U,28,079,07901,0790101,00073,Calle,de,Agustín de Foxá,N,40,,,28036,05,094,056,T0791996,0790101150,1,1,A,1,079-05-086,86,11,559-2,2,3,20030331,19860101,,442257,4480589,T,,,,
14,13537,5_20,20170530,5,20,COLLADO MEDIANO,,S,20,12004,,93,173,U,28,046,04601,0460101,A0163,Paseo,de los,Rosales,N,47,,,28450,01,001,,T046153,0460101008,,6,C1,4,046-001,1156,13,508-3,2,3,20030331,19860101,,412587,4505374,N,,,,
15,10648,5_82,20170530,5,82,TORRELODONES,,S,82,10103,,93,352,U,28,152,15204,1520401,00474,Plaza,de,Salvador Sánchez Frascuelo,N,6,,,28250,01,005,,T152194,1520401002,,6,B3,3,152-001,1020,64,533-4,2,3,20030331,19860101,,419147,4492172,P,,,,
16,5786,5_91,20170530,5,91,VILLALBA,,S,91,10200,,92,371,U,28,047,04705,0470501,A0107,Plaza,de la,Estación,N,1,,,28400,01,011,,T047414,0470501006,,6,B3,3,047-006,968,69,533-2,2,3,20030331,19860101,,414849,4497977,P,,,,
