precio;sub_descr;href;ubicacion;habitaciones;banios;planta;otros;latitude;longitude;mt2;CCAA
3.200 €/mes;;/alquilar/piso-laredo_centro39770-43403460022_106000/;Centro (Laredo);2 habs.;2 baños;2ª planta;"¡Bonito apartamento en el centro de laredo y a escasos metros de la paya salvé!

Un apartamento moderno y funcional. Cuenta con do...";43.410932303;-3.414800789;;cantabria
850 €/mes;;/alquilar/piso-numancia_san_fernando39008-44232159102_103800/;Numancia-San Fernando (Santander);3 habs.;2 baños;4ª planta;Cerca del hospital marqués de valdecilla, c/alta, alve alquila estupendo piso grande y espacioso,distribuido en 3 habitaciones, am...;43.4590262;-3.8170499;110 m²;cantabria
750 €/mes;;/alquilar/piso-los_castros39007-42571190685_101800/;Los Castros (Santander);2 habs.;1 baño;;Piso reformado en el grupo san francisco compuesto por 2 habitaciones, salón, cocina equipada y baño, calefacción individual, exte...;43.469097203;-3.795158709;55 m²;cantabria
850 €/mes;;/alquilar/piso-santander_centro_ayuntamiento39001-45011376555_108900/;Centro-Ayuntamiento (Santander);2 habs.;1 baño;1ª planta;Distrito inmobiliario alquila de septiembre a junio en pleno centro de santander en calle peatonal, este luminoso piso.distribuido...;43.4622605;-3.813224;75 m²;cantabria
2.300 €/mes;;/alquilar/piso-puerto_chico39004-45076921817_108900/;Puerto Chico (Santander);2 habs.;2 baños;1ª planta;Alquiler vacacional por quincenas. Distrito inmobiliario alquila piso en reina victoria para máximo de 4 personas.está distribuido...;43.4636181;-3.7900736;70 m²;cantabria
875 €/mes;Ático en calle de Velázquez, 5;/alquilar/atico-brazomar39700-44213112358_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;;"Precioso atico en castro-urdiales.

A 5 minutos de la playa de brazomar.

Zona residencial muy tranquila

Muy bien situado, próxim...";43.3729;-3.21692;72 m²;cantabria
2.000 €/mes;;/alquilar/piso-brazomar39700-45022295062_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;1ª planta;"Se alquila por temporada vivienda a 200m de la playa de brazomar.
Julio: 
Mensual 2.000€
Quincena 1.300€ 
- capacidad máxima 4 per...";43.373526034;-3.214615513;70 m²;cantabria
700 €/mes;;/alquilar/piso-suances_centro_urbano-28341737714_103800/;Suances;2 habs.;1 baño;1ª planta;"Alquiler vacacional, consulta disponibilidad.
Disfruta de la comodidad y el lujo de pasar unas vacaciones a pocos pasos de la play...";43.433165575;-4.043319717;69 m²;cantabria
1.150 €/mes;;/alquilar/atico-santander_centro_ayuntamiento39010-41760956522_100500/;Centro-Ayuntamiento (Santander);3 habs.;1 baño;;¡Echa un vistazo a este ático que tenemos en alquiler temporal, en la calle jesús de monasterio! Es ideal para estudiantes que bus...;43.46169972;-3.813014298;88 m²;cantabria
950 €/mes;Piso en calle de la Rúa, 26;/alquilar/piso-castro_urdiales_centro-45035818828_100500/;Centro (Castro Urdiales);2 habs.;1 baño;2ª planta;En alquiler por temporadas, piso en el centro de castro urdiales, ubicado junto a la playa de ostende, puerto, iglesia de santa ma...;43.385;-3.21708;75 m²;cantabria
2.800 €/mes;;/alquilar/duplex-zona_playa-43371635060_108900/;Zona Playa (Laredo);3 habs.;3 baños;1ª planta;"Estupendo adosado en zona ever en laredo en alquiler julio y agosto

Consta de 99m² de vivienda, la primera planta esta distribuid...";43.413266891;-3.438117577;120 m²;cantabria
1.995 €/mes;;/alquilar/piso-puerto_chico39004-45092874591_100500/;Puerto Chico (Santander);4 habs.;2 baños;2ª planta;Propiedad de lujo, totalmente amueblada que invita a entrar para comenzar a vivirla y disfrutar del privilegio que supone encontra...;43.46492;-3.7904089;147 m²;cantabria
1.950 €/mes;;/alquilar/piso-los_castros39006-40842423351_100500/;Los Castros (Santander);3 habs.;;4ª planta;Alquiler temporal! ¡Increíble oportunidad de reservar este hermoso piso en alquiler! Ubicado en una de las zonas más privilegiadas...;43.4703816;-3.7978057;74 m²;cantabria
1.600 €/mes;;/alquilar/duplex-santona_centro_urbano-45885783344_100500/;Santoña;2 habs.;2 baños;2ª planta;Alquiler vacacional de este espectacular dúplex de estilo moderno en santoña, completamente amueblado y equipado con todo lo neces...;43.4442455;-3.4571276;98 m²;cantabria
1.200 €/mes;;/alquilar/piso-laredo_centro39770-45840913133_520884/;Centro (Laredo);2 habs.;1 baño;3ª planta;Estupendo piso en zona tranquila cercana a la zona centro de laredo y a la vez también  cercano a la playa. Tiene 2 habitaciones, ...;43.409167672;-3.418893531;67 m²;cantabria
980 €/mes;Piso en calle del Poeta Gerardo Diego, 1;/alquilar/piso-el_alisal_cazona39011-45877109592_100500/;El Alisal-Cazoña (Santander);3 habs.;2 baños;7ª planta;"Estupendo piso en alquiler en la calle gerardo diego.
 
 La vivienda se localiza en un entorno residencial muy tranquilo, dotado d...";43.4575;-3.84138;125 m²;cantabria
800 €/mes;;/alquilar/piso-penacastillo_nueva_montana39011-45002039123_100500/;Peñacastillo-Nueva Montaña (Santander);2 habs.;1 baño;2ª planta;"Buscas piso en alquiler para fijo???
Ética inmobiliaria te ofrece este acogedor piso de 55 metros cuadrados. Cuenta con dos dormit...";43.4454813;-3.8511064;55 m²;cantabria
1.400 €/mes;;/alquilar/piso-laredo_centro39770-45019215663_106000/;Centro (Laredo);2 habs.;1 baño;4ª planta;"Alquiler vacacional de precioso piso en 1ª linea  de playa .

Rubio inmobiliaria  les presenta este estupendo apartamento vacacion...";43.412271099;-3.415670574;50 m²;cantabria
1.000 €/mes;;/alquilar/piso-santander_centro_ayuntamiento39003-45056905684_103800/;Centro-Ayuntamiento (Santander);2 habs.;2 baños;;"¡Se alquila piso para fijo en el centro de santander!

Disfruta de vivir en una de las zonas más céntricas y emblemáticas de santa...";43.4626722;-3.8034503;75 m²;cantabria
A consultar;;/alquilar/apartamento-zona_playa-42524894207_501237/;Zona Playa (Laredo);2 habs.;1 baño;5ª planta;"Se alquila agosto quincena o mes completo
Residencia privada con parking y jardin comunitario en la zona de carlos v de laredo, a ...";43.408614574;-3.43065803;60 m²;cantabria
850 €/mes;;/alquilar/piso-castilla_hermida39009-45897410395_102200/;Castilla-Hermida (Santander);3 habs.;1 baño;1ª planta;Estupendo piso de alquiler temporal en la calle castilla de tres dormitorios, salón, cocina y baño. Dispone de ascensor a cota cer...;43.4545393;-3.8209428;72 m²;cantabria
950 €/mes;;/alquilar/piso-santander_monte39012-32576198517_100500/;Monte (Santander);2 habs.;2 baños;1ª planta;"Magnifica vivienda vacacional septiembre-junio en valdenoja-la pereda de dos habitaciones

En una buena urbanización privada con p...";43.4713534;-3.8182037;94 m²;cantabria
800 €/sem;;/alquilar/piso-noja_helgueras-45062744058_510167/;Helgueras (Noja);2 habs.;1 baño;4ª planta;Se alquila ático con ascensor y garaje particular, cercano a la playa y con espectaculares vistas al mar en noja, en la zona de la...;43.470240005;-3.508333448;65 m²;cantabria
850 €/mes;;/alquilar/piso-castilla_hermida39002-45051803901_990805/;Castilla-Hermida (Santander);3 habs.;2 baños;2ª planta;No fijo se alquila para fijo. Ideal para personal desplazado por trabajo o estudios, se alquila por periodos inferiores a 11 meses...;43.4583862;-3.8101652;115 m²;cantabria
900 €/mes;Piso en calle de San Fernando, 84;/alquilar/piso-santander_cuatro_caminos39010-42564622198_109300/;Cuatro Caminos (Santander);2 habs.;2 baños;3ª planta;En el corazón de santander, te presentamos este espectacular piso en alquiler con todas las comodidades que puedas imaginar. Con d...;43.4589485;-3.8259168;101 m²;cantabria
3.000 €/mes;;/alquilar/piso-laredo_centro_urbano-25010887808_108500/;Centro (Laredo);1 hab.;1 baño;;Desde inmobiliaria uranga os presentamos este piso en el centro de laredo. Inmueble muy bien situado en la villa, a escasos 300 me...;43.412424571;-3.412766644;58 m²;cantabria
900 €/mes;;/alquilar/atico-valdenoja39012-45840752358_995936/;Valdenoja (Santander);2 habs.;1 baño;;Ático muy bonito, vacío, con terraza y vistas preciosas al sardinero. Desde la misma urbanización se accede a la rotonda de  los a...;43.487232556;-3.791468188;85 m²;cantabria
7.000 €/mes;;/alquilar/piso-santander_el_sardinero39005-45844689761_100500/;El Sardinero (Santander);3 habs.;2 baños;1ª planta;"Espectacular y exclusivo apartamento al lado del mar cantábrico en la mejor zona de santander.
Eligiendo esta propiedad para disfr...";43.4709748;-3.7836995;116 m²;cantabria
1.700 €/mes;;/alquilar/piso-trengandin-44230889431_102200/;Trengandín (Noja);2 habs.;1 baño;3ª planta;Alquiler vacacional de junio a septiembre nuevo - bonita vivienda en noja con piscina y zonas verdes, cerca de la playa de trengan...;43.477075182;-3.521198814;60 m²;cantabria
840 €/mes;;/alquilar/piso-santander_la_pereda39012-44242182737_993981/;La Pereda (Santander);2 habs.;2 baños;3ª planta;Frente al parque de las llamas. Próximo al sardinero y a las universidades. Se alquila piso para curso escolar de septiembre a jun...;43.4754017;-3.803418;87 m²;cantabria
3.500 €/mes;;/alquilar/piso-zona_playa-45919365877_100500/;Zona Playa (Laredo);3 habs.;2 baños;2ª planta;Se alquila solo para la temporada de verano. Te ofrecemos un hermoso piso en alquiler, ubicado en un exclusivo residencial privado...;43.409337806;-3.432608892;90 m²;cantabria
600 €/mes;;/alquilar/piso-torrelavega_tanos39300-45890158803_106000/;Tanos (Torrelavega);1 hab.;1 baño;2ª planta;Estupendo apartamento en alquiler, para entrar a vivir,  situado en el centro de torrelavega,  con ascensor. Distribuido en 1 dorm...;43.34662777;-4.044549394;56 m²;cantabria
900 €/mes;;/alquilar/piso-santander_el_sardinero39005-23349094159_427100/;El Sardinero (Santander);3 habs.;2 baños;5ª planta;A un paso de la playa. Fantástico apartamento en alquiler en pleno sardinero. **alquiler de temporada** disponible desde el 1 de s...;43.4695738;-3.7843533;83 m²;cantabria
860 €/mes;;/alquilar/piso-santander_la_pereda39012-44237993900_100500/;La Pereda (Santander);2 habs.;2 baños;3ª planta;"Solo alquiler temporal, desde el 1 de septiembre de 2024 hasta el 30 de junio de 2025.

Piso nuevo, bien amueblado y equipado.
Con...";43.4754017;-3.803418;102 m²;cantabria
550 €/mes;;/alquilar/piso-somo-41710465721_100500/;Somo (Ribamontán Al Mar);2 habs.;1 baño;;¡Oportunidad! Alquiler temporal! Este encantador piso en la playa de somo, en cantabria, es perfecto para aquellos que buscan disf...;43.454366055;-3.739990015;59 m²;cantabria
700 €/mes;;/alquilar/piso-covadonga_campuzano_ciudad_vergel-40011388743_997994/;Covadonga-Campuzano-Ciudad Vergel (Torrelavega);2 habs.;2 baños;1ª planta;Alquiler para estudiantes disponible a partir de septiembre. Vivienda de dos dormitorios, sala, cocina independiente y dos baños (...;43.3495653;-4.05575514;75 m²;cantabria
1.500 €/mes;;/alquilar/duplex-cotolino39700-43402313260_100500/;Cotolino (Castro Urdiales);3 habs.;;4ª planta;"Alquiler de larga duración
Ático dúplex en excelente ubicación de cotolino, a tan solo 50 metros de la playa de brazomar, muy cerc...";43.3676199;-3.2121912;180 m²;cantabria
5.000 €/mes;;/alquilar/piso-cotolino39709-45097793429_100500/;Cotolino (Castro Urdiales);3 habs.;2 baños;;"Se alquila por temporadas vivienda a 200m de la playa de brazomar.
Julio:

 Quincena 2.400€ 
 Semana 1.400€
Agosto:
2ª quincena 2....";43.372289359;-3.205616208;95 m²;cantabria
2.500 €/mes;;/alquilar/chalet-somo-32522585692_108500/;Somo (Ribamontán Al Mar);3 habs.;3 baños;;Oportunidad maravillosa para disfrutar de esta casa de ensueño en la cuna del surf cántabra. Está disponible solo julio. La semana...;43.454468387;-3.739338395;220 m²;cantabria
1.800 €/mes;;/alquilar/piso-zona_playa-36701121341_515274/;Zona Playa (Laredo);2 habs.;1 baño;2ª planta;"Estupendo dúplex en alquiler a escasos metros de la playa salvé.

Cuenta con dos dormitorios , salón comedor, baño con plato de du...";43.409239746;-3.437205069;75 m²;cantabria
150 €/día;Piso en calle de la Bajada al Puerto, 9;/alquilar/piso-suances_centro_urbano-45877711965_511222/;Suances;2 habs.;1 baño;4ª planta;Buscas una ubicación perfecta para disfrutar de tus días de vacaciones? Desconecta con las mejores vistas en nuestro piso de bajad...;43.432247;-4.0381427;90 m²;cantabria
120 €/día;;/alquilar/piso-el_dueso-45016435144_510167/;El Dueso (Santoña);2 habs.;2 baños;2ª planta;"A un paso de la playa de berria.
Urbanización con piscina y tenis
Dúplex con cocina, salón con terraza, 2 dormitorios, uno de ello...";43.462884822;-3.469706017;75 m²;cantabria
1.800 €/mes;Piso en Avenida de Francia, 70;/alquilar/piso-zona_playa-25908425166_515274/;Zona Playa (Laredo);2 habs.;1 baño;4ª planta;Bonito piso en alquiler vacacional a escasos metros de la playa en residencia privada. El piso cuenta con 2 habitaciones, baño, co...;43.41798749951866;-3.4422633203704356;60 m²;cantabria
1.400 €/mes;Piso en calle Laredo Zona Playa , nº 1;/alquilar/piso-laredo_centro-92562205588_515274/;Centro (Laredo);2 habs.;1 baño;2ª planta;"¡¡Tenemos tu alquiler vacacional cerca de la playa de laredo!!

A 100 m de la playa salvé encontramos este inmueble que cuenta con...";43.4101;-3.4139;60 m²;cantabria
1.350 €/mes;;/alquilar/piso-zona_playa-44182025605_108900/;Zona Playa (Laredo);2 habs.;1 baño;3ª planta;"Piso de dos habitaciones en alquiler julio y plaza de garaje en laredo 

Piso en alquiler quincena julio y a unos pasos del paseo ...";43.415057026;-3.43907069;84 m²;cantabria
2.800 €/mes;Piso en Avenida de la Libertad, 12;/alquilar/piso-carlos_v-39239394321_515274/;Carlos V (Laredo);3 habs.;2 baños;2ª planta;Maravilloso piso en alquiler en una de las mejores zonas de laredo, a un paso del centro y en plena playa, con servicios al lado...;43.409;-3.42926;85 m²;cantabria
3.600 €/mes;;/alquilar/piso-zona_playa-44201315301_515274/;Zona Playa (Laredo);2 habs.;3 baños;Bajo;Te presentamos este estupendo piso en una de las residencias con la mejor vista de laredo. La vivienda está en primerisima línea d...;43.420609863;-3.443522489;90 m²;cantabria
1.400 €/mes;Piso en Avenida de los Derechos Humanos, 12;/alquilar/piso-carlos_v-34198275160_515274/;Carlos V (Laredo);3 habs.;1 baño;4ª planta;"¡¡Bonito piso en alquiler a escasos metros de la playa salvé!!

Este piso cuenta con tres dormitorios, cocina equipada, baño con p...";43.4096;-3.43315;55 m²;cantabria
2.100 €/mes;Piso en Avenida de Francia, 61;/alquilar/piso-zona_playa-43347159407_515274/;Zona Playa (Laredo);2 habs.;1 baño;Bajo;Maravilloso y soleado piso en una zona inmejorable, la vivienda está situada en una urbanización privada con jardines y pista de t...;43.417595;-3.4419937;65 m²;cantabria
1.400 €/mes;Piso en calle de Menéndez Pelayo, 18;/alquilar/piso-laredo_centro-95928829667_515274/;Centro (Laredo);2 habs.;1 baño;8ª planta;"¡¡Ideal para pasar aquí tus vacaciones!! En la zona del puerto deportivo de laredo y a un paso de la playa.
Totalmente reformado c...";43.41200870073221;-3.412780612745633;70 m²;cantabria
2.600 €/mes;Piso en calle de Menéndez Pelayo, 30;/alquilar/piso-laredo_centro-35075618053_515274/;Centro (Laredo);2 habs.;2 baños;1ª planta;"¡Precioso piso en alquiler en el centro de laredo para disfrutar de tus vacaciones de verano!

Cerca de todos los servicios y a es...";43.41252605730827;-3.412753663287109;87 m²;cantabria
2.500 €/mes;;/alquilar/piso-valdenoja39012-44189433901_100500/;Valdenoja (Santander);3 habs.;2 baños;5ª planta;"Piso en alquiler para verano junto a la segunda playa del sardinero
 
Disponible julio (1ª quincena 2.500 € - 2ª quincena 3.000 € ...";43.4796642;-3.791392;104 m²;cantabria
1.900 €/mes;;/alquilar/piso-ampuero_centro_urbano-45912377259_515274/;Ampuero;3 habs.;1 baño;4ª planta;Si quieres pasar tus vacaciones en plena naturaleza y con unas vistas increibles, tenemos el piso para tí, a excasos metros de tod...;43.338473275;-3.419242015;70 m²;cantabria
1.800 €/mes;Piso en calle Emperador, 14;/alquilar/piso-laredo_centro-83413495835_515274/;Centro (Laredo);2 habs.;3 baños;3ª planta;¡¡¡¡¡Exclusivo!!!!!!!!!!!!! ¡¡¡¡¡Gran oportunidad libre julio !!!!En el centro de laredo, edificio de reciente construcción, con a...;43.412067640313616;-3.4088998907182364;80 m²;cantabria
1.400 €/mes;Piso en Avenida de los Derechos Humanos, 40;/alquilar/piso-zona_playa-31682657589_515274/;Zona Playa (Laredo);3 habs.;1 baño;9ª planta;"¡¡Estupendo piso en residencia privada con piscina!!

Magnífico piso en alquiler donde poder disfrutar de unas estupendas vacacion...";43.41635042861502;-3.4435029954625205;85 m²;cantabria
820 €/mes;;/alquilar/atico-santander_centro_ayuntamiento39007-45058851783_100500/;Centro-Ayuntamiento (Santander);2 habs.;1 baño;;Se alquila en pleno centro, bonito ático abuhardillado, entero reformado, para fijo exclusivamente- maximo 1 o 2 personas.- dispon...;43.4630179;-3.8151414;90 m²;cantabria
2.800 €/mes;;/alquilar/piso-laredo_el_puntal-45006897142_515274/;El Puntal (Laredo);3 habs.;2 baños;1ª planta;Te ofrecemos este estupendo y amplio piso en segunda línea de playa, ubicado en una urbanización con jardines y a una calle de la ...;43.421492332;-3.445382154;85 m²;cantabria
1.000 €/mes;Piso en Avenida de la Libertad, 87;/alquilar/piso-zona_playa-26688985085_515274/;Zona Playa (Laredo);2 habs.;1 baño;7ª planta;¡Estupendo piso en alquiler para disfrutar de tus vacaciones! Cuenta con dos dormitorios, baño con bañera, cocina equipada, y ampl...;43.41302376323155;-3.4376998787271082;65 m²;cantabria
99 €/día;Apartamento en calle Vista Alegre, 23;/alquilar/apartamento-cabezon_de_la_sal_centro_urbano-41670728301_519849/;Cabezón de la Sal;1 hab.;1 baño;Bajo;Apartamento nuevo, equipado con lo básico para tener una estancia cómoda y agradable. Dispone de una cama de matrimonio y un sofá ...;43.31066136313868;-4.232014725793817;44 m²;cantabria
790 €/mes;;/alquilar/piso-boo_de_guarnizo-45048150333_993981/;Boo de Guarnizo (El Astillero);2 habs.;1 baño;Bajo;En boo de guarnizo, a tan solo 500 metros de la autovía santander - bilbao y escasos 100 metros de supermercados y servicios, os p...;43.406995219;-3.839550378;80 m²;cantabria
